id,source_id,status,agency_name,kind,aliases,word_1,word_2,word_3,word_4,word_5,diff_1,diff_2,diff_3,diff_4,diff_5,pop_culture,tier,change_log,notes
15,31,final,US National Parks,proper_noun_set,national parks | us parks | american national parks | national park | nps | national park service,Yellowstone,Yosemite,Zion,Everglades,Acadia,2,2,3,4,4,N,2,,Vacation talk is the natural cover. Weak easy end.
16,32,final,Capital Cities,proper_noun_set,capitals | capital city | world capitals | capitals of the world | country capitals,Paris,Lisbon,Nairobi,Canberra,Reykjavik,1,2,3,4,5,N,1,"Ulaanbaatar replaced with Reykjavik. Same category signal, plantable in travel talk.",Travel talk cover. Ulaanbaatar is one of the hardest single words in the library.
17,38,final,Gemstones,natural_taxonomy,gems | jewels | gemstone | precious stones | birthstones | gem stones,diamond,pearl,jade,garnet,tourmaline,1,2,3,4,5,N,2,,Diamond and pearl have idioms attached. Tourmaline is diagnostic.
18,39,final,Flowers,natural_taxonomy,flower | flower names | types of flowers | florist | blooming flowers | garden flowers,rose,lily,tulip,orchid,delphinium,1,2,3,3,5,N,2,,Common enough to be low-risk. Low ceiling of interest.
19,40,final,Herbs,natural_taxonomy,herb | culinary herbs | cooking herbs | fresh herbs | herb garden | kitchen herbs,mint,basil,thyme,tarragon,lovage,1,2,3,4,5,N,2,,Mint condition and thyme homophone give two easy routes.
20,41,final,Teas,food_drink,tea | types of tea | tea varieties | tea types | hot tea | loose leaf tea,green tea,chamomile,earl grey,oolong,rooibos,1,3,3,4,5,N,2,,Beverage talk cover. Overlaps with the coffee agency conceptually.
21,46,final,Pottery,procedural_terms,ceramics | ceramic | pottery making | clay pottery | pots and ceramics | studio pottery,clay,glaze,kiln,earthenware,slipcasting,2,3,4,4,5,N,3,,Clay is the only easy word. Hard end may be too hard.
22,50,final,Ancient Egypt,proper_noun_set,egypt | egyptian | egyptians | ancient egyptian | pharaonic egypt | egyptology,pyramid,pharaoh,hieroglyph,papyrus,sarcophagus,1,4,4,4,5,N,2,,Pyramid is free. Steep jump after that.
23,51,final,Castles,manufactured_object,castle | medieval castles | fortress | fortresses | castle architecture | medieval fortress,tower,moat,drawbridge,turret,portcullis,1,3,4,4,5,N,1,,Moat is a standard strategy term. Portcullis is unmistakable.
24,55,final,Beekeeping,procedural_terms,bees | bee keeping | honeybees | apiculture | beekeeper | honey bees | keeping bees,hive,honey,pollen,swarm,apiary,1,2,3,3,5,N,1,,Hive mind and swarm are agile vocabulary. Apiary is the tell.
25,58,final,Dinosaurs,proper_noun_set,dinosaur | dino | dinos | prehistoric animals | prehistoric creatures | dinosauria,fossil,extinct,raptor,triceratops,stegosaurus,1,1,3,5,5,N,2,,Fossil and extinct are business words. Very steep jump to the hard end.
26,76,final,Star Wars,pop_culture_property,starwars | star wars movies | star wars film | a galaxy far away | george lucas | lucasfilm | jedi universe,Death Star,jedi,lightsaber,Ewok,wookiee,2,3,3,4,5,Y,1,Removed force and droid. No genuinely easy word survives. Floor is 2.,Force multiplier and may the force are already business speech. Broadest recognition of any property here.
27,77,final,Harry Potter,pop_culture_property,potter | hogwarts | jk rowling | j k rowling | harry potter books | wizarding world | the wizarding world,spell,wand,muggle,quidditch,horcrux,1,2,3,4,5,Y,1,,Spell out is free. Wide but not universal recognition.
28,78,final,Lord of the Rings,pop_culture_property,lotr | the lord of the rings | tolkien | jrr tolkien | middle earth | middleearth | the hobbit,hobbit,Frodo,Gandalf,Mordor,Rivendell,2,2,3,4,5,Y,1,"Removed precious as instructed. Also removed ring and fellowship, both of which have ordinary work meanings.",Ring and precious plant easily. One does not simply is a known meme which helps guessers.
29,80,final,The Office,pop_culture_property,the office us | office tv show | the office tv | dunder mifflin | michael scott show | nbc the office,Michael Scott,Dunder Mifflin,Scranton,beets,dundies,2,3,3,4,5,Y,1,Removed conference room and branch manager.,First two are literal office vocabulary which is an excellent trap.
30,87,final,The Wizard of Oz,pop_culture_property,wizard of oz | oz | the wizard of oz movie | judy garland | oz movie | wizard oz,yellow brick road,tin man,emerald city,ruby slippers,munchkin,2,3,4,4,4,Y,1,,Yellow brick road and no place like home are common idioms. Very broad recognition.
31,88,final,Willy Wonka,pop_culture_property,wonka | charlie and the chocolate factory | chocolate factory | roald dahl | willy wonka and the chocolate factory | wonka factory,golden ticket,chocolate factory,glass elevator,oompa loompa,fizzy lifting,1,3,4,4,5,Y,1,,Golden ticket is standard business speech.
32,90,final,Disney Princesses,pop_culture_property,disney princess | princesses | disney | disney fairy tales | fairy tale princesses,glass slipper,tiara,fairy godmother,mermaid,poison apple,3,3,3,4,4,Y,2,,Fairy godmother is a usable metaphor. Flat difficulty curve.
33,93,final,Back to the Future,pop_culture_property,bttf | back to the future movies | back to the future film | marty mcfly | doc brown | hill valley,hoverboard,DeLorean,great scott,flux capacitor,1.21 gigawatts,2,4,4,5,5,Y,2,,Difficult across the board. Recognition is high but planting is hard.
34,94,final,Jaws,pop_culture_property,jaws movie | the shark movie | jaws the movie | spielberg shark | jaws film,fin,bigger boat,shark cage,Orca,Amity,2,3,4,4,5,Y,2,Removed beach and chum. Bigger boat retained since it is the guessing route.,Gonna need a bigger boat is a business cliche which does the guessing work.
35,95,final,Monopoly,pop_culture_property,monopoly game | the game monopoly | monopoly board game | boardwalk game | monopoly board,free parking,boardwalk,park place,get out of jail,thimble,2,3,3,3,5,Y,1,,Get out of jail free is ordinary speech. Universal recognition.
36,98,final,Sesame Street,pop_culture_property,sesame | sesame st | sesame street show | sesame street muppets | jim henson sesame,letter of the day,big bird,elmo,cookie monster,snuffleupagus,2,3,4,4,5,Y,2,,Broad multigenerational recognition. Snuffleupagus is the tell.
37,99,final,Peanuts,pop_culture_property,peanuts comic | charlie brown | peanuts cartoon | charles schulz | peanuts strip | snoopy comic,good grief,snoopy,security blanket,Linus,great pumpkin,1,2,2,3,5,Y,1,Blockhead replaced with Linus.,Good grief and security blanket are ordinary speech. Excellent camouflage.
38,100,final,Sherlock Holmes,pop_culture_property,sherlock | holmes | sherlock holmes stories | arthur conan doyle | conan doyle | detective holmes | 221b baker street,Watson,Moriarty,Baker Street,the game is afoot,deerstalker,2,3,4,4,5,Y,1,Removed elementary and deduction.,Elementary and deduction are fully business-native. Deerstalker is diagnostic.
39,new,final,Cheese,food_drink,cheeses | types of cheese | cheese types | cheese board | fromage | cheese names,cheddar,parmesan,brie,gorgonzola,raclette,1,2,3,4,5,N,1,Newly authored under the revised rule.,Food talk cover. Every word is unmistakably cheese. Raclette is the tell.
40,new,final,Sushi,food_drink,sushi rolls | japanese sushi | sushi types | sushi restaurant | nigiri and rolls,california roll,wasabi,sashimi,nigiri,toro,1,2,3,4,5,N,1,Newly authored under the revised rule.,Lunch talk cover. No word has a second meaning.
41,new,final,Whales and Dolphins,natural_taxonomy,whales | dolphins | whale | dolphin | cetaceans | marine mammals | whales dolphins,dolphin,humpback,blowhole,narwhal,baleen,1,2,3,4,5,N,1,Newly authored under the revised rule.,Documentary and vacation talk cover. Baleen is fully diagnostic.
42,new,final,Horse Breeds,natural_taxonomy,horses | horse | horse breed | types of horses | equine | horse types,mustang,thoroughbred,clydesdale,palomino,appaloosa,1,2,3,4,5,N,1,Newly authored under the revised rule.,"Mustang and thoroughbred have mild metaphor use, everything else is horse-only."
43,new,final,Volcanoes,natural_taxonomy,volcano | volcanic | volcano names | volcanos | volcanic eruptions,lava,crater,Vesuvius,caldera,pyroclastic flow,1,2,3,4,5,N,1,Newly authored under the revised rule.,Sits next to Geology in the library. Keep only one if both survive review.
44,new,final,Lighthouses,manufactured_object,lighthouse | lighthouse keeping | maritime lighthouses | coastal lighthouses | light houses,lighthouse,foghorn,shipwreck,lightkeeper,Fresnel lens,1,2,3,4,5,N,1,Newly authored under the revised rule.,Shipwreck has mild metaphor use. The rest are single-meaning.
45,new,final,Clocks and Watches,manufactured_object,clocks | watches | timepieces | clock | watch | horology | clocks watches,wristwatch,pendulum,sundial,grandfather clock,escapement,1,2,3,4,5,N,1,Newly authored under the revised rule.,Pendulum swing is a mild business phrase. Escapement is the diagnostic.
46,new,final,Scuba Diving,procedural_terms,scuba | diving | scuba dive | underwater diving | dive gear,wetsuit,snorkel,flippers,decompression stop,nitrogen narcosis,1,2,3,4,5,N,1,Newly authored under the revised rule.,"Vacation talk cover. Avoided regulator, which reads as regulatory in a business meeting."
47,new,final,Glassblowing,procedural_terms,glass blowing | blown glass | glass art | glassblower | glass blowing studio,furnace,molten glass,blowpipe,annealing,gaffer,1,2,3,4,5,N,1,Newly authored under the revised rule.,"Craft talk cover. Gaffer is also a film term, which is a useful misdirection."
48,new,final,Cartography,procedural_terms,maps | mapmaking | map making | map maker | making maps | cartographer,atlas,compass rose,contour lines,cartographer,Mercator projection,1,2,3,4,5,N,1,Newly authored under the revised rule.,"Avoided map and projection, both business-native. Everything retained is map-only."
49,reserve,final,Photography,procedural_terms,photos | cameras | taking photos | photography terms | camera work | photo,tripod,aperture,darkroom,f-stop,daguerreotype,1,2,3,4,5,N,1,"Rebuilt. Removed focus, exposure and shutter, all three business-native. Every retained word is camera-only.",Hobby talk cover. Daguerreotype is the tell and is still guessable as photography.
50,reserve,final,Climbing,procedural_terms,rock climbing | mountaineering | climbers | rock climbing gear | alpine climbing | rockclimb,carabiner,switchback,rappel,belay,crampons,1,2,3,4,5,N,1,Rebuilt. Removed altitude as instructed and ridge for the same reason.,Weekend talk cover. No word has a second meaning in an office.
